"type","name","max_char","locations","sample_k","feedback","target","height","instruction","required","choices","width"
"choice","ref_img_chef_img","","random","",true,"%s:ref_img","","Click on the image below that matches the word I say:","","[""%s:ref_img"",""%s:chef_img""]",""
"choice","chef_img_ref2_img_bandit_img","","random","",true,"%s:chef_img","","Click on the image below that matches the word I say:","","[""%s:chef_img"",""%s:ref2_img"",""%s:bandit_img""]",""
"choice","bandit_img_ref_img_ref2_img_ref3_img","","random","",true,"%s:bandit_img","","Click on the image below that matches the word I say:","","[""%s:bandit_img"",""%s:ref_img"",""%s:ref2_img"",""%s:ref3_img""]",""
"choice","ref_vid_chef_vid","","random","",true,"%s:ref_vid","","Click on the video below that matches the word I say:","","[""%s:ref_vid"",""%s:chef_vid""]",""
"choice","chef_vid_ref2_vid_bandit_vid","","random","",true,"%s:chef_vid","","Click on the video below that matches the word I say:","","[""%s:chef_vid"",""%s:ref2_vid"",""%s:bandit_vid""]",""
"choice","tap_vid_ref_vid_ref2_vid_ref3_vid","","random","",true,"%s:tap_vid","","Click on the video below that matches the word I say:","","[""%s:tap_vid"",""%s:ref_vid"",""%s:ref2_vid"",""%s:ref3_vid""]",""
"choice","RefOnRedSkateboard_img_ChefUnderTable_img_chef_img_bandit_img","","random","",true,"%s:RefOnRedSkateboard_img","","Click on the image below that matches the word I say:","","[""%s:RefOnRedSkateboard_img"",""%s:ChefUnderTable_img"",""%s:chef_img"",""%s:bandit_img""]",""
"choice","ChefUnderTable_img_ChefUnderTable1_img_chef1_img_bandit1_img_ChefUnderTable2_img_chef2_img_bandit2_img","","random","",true,"%s:ChefUnderTable_img","","Click on the image below that matches the word I say:","","[""%s:ChefUnderTable_img"",""%s:ChefUnderTable1_img"",""%s:chef1_img"",""%s:bandit1_img"",""%s:ChefUnderTable2_img"",""%s:chef2_img"",""%s:bandit2_img""]",""
"choice","chef_img_bandit_img","","random","",false,"%s:chef_img","","Click on the doer of the action","","[""%s:chef_img"",""%s:bandit_img""]",""
"choice","refOnRedSkateboard_img_banditNexttoBlueSkateboard_img","","random","",false,"%s:refOnRedSkateboard_img","","Click on the doer of the action","","[""%s:refOnRedSkateboard_img"",""%s:banditNexttoBlueSkateboard_img""]",""
"text","textbox",500,"","","","","50px","",true,"","700px"